supplementary_table_id	title	clean_attachment_basename	rows	columns	source_basename	interpretation_boundary
S7	Representation-overlap-audited driver-state association analysis	S07__tcga_escc_driver_state_representation_overlap_associations.tsv	4800	52	tcga_escc_driver_state_leakage_associations.tsv	Omission sensitivity reduces representation overlap but is not independent replication.
S7	Representation-overlap-audited driver-state association analysis	S07__tcga_escc_driver_state_representation_overlap_edge_stability.tsv	175	31	tcga_escc_driver_state_leakage_edge_stability.tsv	Omission sensitivity reduces representation overlap but is not independent replication.
S7	Representation-overlap-audited driver-state association analysis	S07__tcga_escc_driver_state_representation_overlap_candidate_summary.tsv	41	33	tcga_escc_driver_state_leakage_candidate_summary.tsv	Omission sensitivity reduces representation overlap but is not independent replication.
S8	Locked ECMS projection, calibration, and factor associations	S08__tcga_escc_ecms_projection_calibration.tsv	17	6	tcga_escc_ecms_projection_calibration.tsv	ECMS analyses share the TCGA RNA representation and are contextual calibration only.
S8	Locked ECMS projection, calibration, and factor associations	S08__tcga_escc_ecms_factor_associations.tsv	16	25	tcga_escc_ecms_factor_associations.tsv	ECMS analyses share the TCGA RNA representation and are contextual calibration only.
S8	Locked ECMS projection, calibration, and factor associations	S08__tcga_escc_ecms_adjusted_factor_progeny_associations.tsv	224	25	tcga_escc_ecms_adjusted_factor_progeny_associations.tsv	ECMS analyses share the TCGA RNA representation and are contextual calibration only.
S9	Cao et al. paired cross-layer calibration	S09__cao2020_wgbs_candidate_pair_effects.tsv	216	13	cao2020_wgbs_candidate_pair_effects.tsv	Cross-layer coverage is candidate- and assay-dependent; missingness is not negative evidence.
S9	Cao et al. paired cross-layer calibration	S09__cao2020_wgbs_candidate_region_summary.tsv	24	19	cao2020_wgbs_candidate_region_summary.tsv	Cross-layer coverage is candidate- and assay-dependent; missingness is not negative evidence.
S9	Cao et al. paired cross-layer calibration	S09__cao2020_rna_candidate_pair_effects.tsv	120	8	cao2020_rna_candidate_pair_effects.tsv	Cross-layer coverage is candidate- and assay-dependent; missingness is not negative evidence.
S9	Cao et al. paired cross-layer calibration	S09__cao2020_rna_candidate_summary.tsv	12	25	cao2020_rna_candidate_summary.tsv	Cross-layer coverage is candidate- and assay-dependent; missingness is not negative evidence.
S9	Cao et al. paired cross-layer calibration	S09__cao2020_proteomics_candidate_pair_effects.tsv	14	10	cao2020_proteomics_candidate_pair_effects.tsv	Cross-layer coverage is candidate- and assay-dependent; missingness is not negative evidence.
S9	Cao et al. paired cross-layer calibration	S09__cao2020_proteomics_candidate_summary.tsv	12	16	cao2020_proteomics_candidate_summary.tsv	Cross-layer coverage is candidate- and assay-dependent; missingness is not negative evidence.
S9	Cao et al. paired cross-layer calibration	S09__cao2020_cross_layer_patient_effects.tsv	120	15	cao2020_cross_layer_patient_effects.tsv	Cross-layer coverage is candidate- and assay-dependent; missingness is not negative evidence.
S9	Cao et al. paired cross-layer calibration	S09__cao2020_cross_layer_candidate_summary.tsv	12	86	cao2020_cross_layer_candidate_summary.tsv	Cross-layer coverage is candidate- and assay-dependent; missingness is not negative evidence.
S10	PR001876 targeted metabolomics calibration	S10__pr001876_targeted_ms_analysis_inventory.tsv	3	32	pr001876_targeted_ms_analysis_inventory.tsv	Metabolomics results are unpaired and do not support absolute concentration claims.
S10	PR001876 targeted metabolomics calibration	S10__pr001876_targeted_ms_sample_qc.tsv	96	16	pr001876_targeted_ms_sample_qc.tsv	Metabolomics results are unpaired and do not support absolute concentration claims.
S10	PR001876 targeted metabolomics calibration	S10__pr001876_targeted_ms_feature_qc.tsv	502	27	pr001876_targeted_ms_feature_qc.tsv	Metabolomics results are unpaired and do not support absolute concentration claims.
S10	PR001876 targeted metabolomics calibration	S10__pr001876_targeted_ms_differential.tsv	332	93	pr001876_targeted_ms_differential.tsv	Metabolomics results are unpaired and do not support absolute concentration claims.
S10	PR001876 targeted metabolomics calibration	S10__pr001876_targeted_ms_candidate_metabolites.tsv	135	94	pr001876_targeted_ms_candidate_metabolites.tsv	Metabolomics results are unpaired and do not support absolute concentration claims.
S10	PR001876 targeted metabolomics calibration	S10__pr001876_targeted_ms_run_order_sensitivity.tsv	332	14	pr001876_targeted_ms_run_order_sensitivity.tsv	Metabolomics results are unpaired and do not support absolute concentration claims.
S10	PR001876 targeted metabolomics calibration	S10__pr001876_targeted_ms_scale_sensitivity.tsv	2247	13	pr001876_targeted_ms_scale_sensitivity.tsv	Metabolomics results are unpaired and do not support absolute concentration claims.
S10	PR001876 targeted metabolomics calibration	S10__pr001876_targeted_ms_paired_sensitivity.tsv	332	15	pr001876_targeted_ms_paired_sensitivity.tsv	Metabolomics results are unpaired and do not support absolute concentration claims.
S11	PRJNA766558 paired 16S rRNA microbiome analysis	S11__prjna766558_dada2_sample_qc.tsv	42	30	prjna766558_dada2_sample_qc.tsv	Microbiome results are compositional, FFPE-specific, and lack a public negative control.
S11	PRJNA766558 paired 16S rRNA microbiome analysis	S11__prjna766558_dada2_asv_counts.tsv	7485	44	prjna766558_dada2_asv_counts.tsv	Microbiome results are compositional, FFPE-specific, and lack a public negative control.
S11	PRJNA766558 paired 16S rRNA microbiome analysis	S11__prjna766558_dada2_taxonomy.tsv	7485	13	prjna766558_dada2_taxonomy.tsv	Microbiome results are compositional, FFPE-specific, and lack a public negative control.
S11	PRJNA766558 paired 16S rRNA microbiome analysis	S11__prjna766558_dada2_asv_length_qc.tsv	155	8	prjna766558_dada2_asv_length_qc.tsv	Microbiome results are compositional, FFPE-specific, and lack a public negative control.
S11	PRJNA766558 paired 16S rRNA microbiome analysis	S11__prjna766558_dada2_alpha_diversity.tsv	42	14	prjna766558_dada2_alpha_diversity.tsv	Microbiome results are compositional, FFPE-specific, and lack a public negative control.
S11	PRJNA766558 paired 16S rRNA microbiome analysis	S11__prjna766558_dada2_alpha_paired_tests.tsv	7	13	prjna766558_dada2_alpha_paired_tests.tsv	Microbiome results are compositional, FFPE-specific, and lack a public negative control.
S11	PRJNA766558 paired 16S rRNA microbiome analysis	S11__prjna766558_dada2_beta_tests.tsv	2	14	prjna766558_dada2_beta_tests.tsv	Microbiome results are compositional, FFPE-specific, and lack a public negative control.
S11	PRJNA766558 paired 16S rRNA microbiome analysis	S11__prjna766558_dada2_genus_paired_differential.tsv	109	39	prjna766558_dada2_genus_paired_differential.tsv	Microbiome results are compositional, FFPE-specific, and lack a public negative control.
S11	PRJNA766558 paired 16S rRNA microbiome analysis	S11__prjna766558_dada2_ancombc2_sensitivity.tsv	109	23	prjna766558_dada2_ancombc2_sensitivity.tsv	Microbiome results are compositional, FFPE-specific, and lack a public negative control.
S11	PRJNA766558 paired 16S rRNA microbiome analysis	S11__prjna766558_dada2_pipeline_sensitivity.tsv	4	8	prjna766558_dada2_pipeline_sensitivity.tsv	Microbiome results are compositional, FFPE-specific, and lack a public negative control.
S12	Integrated evidence summary, axes, and candidate network	S12__escc_multiomics_integration_tier_definitions.tsv	5	4	escc_multiomics_integration_tier_definitions.tsv	Evidence integration ranks hypotheses and does not convert association into mechanism.
S12	Integrated evidence summary, axes, and candidate network	S12__escc_multiomics_evidence_ledger.tsv	1689	21	escc_multiomics_evidence_ledger.tsv	Evidence integration ranks hypotheses and does not convert association into mechanism.
S12	Integrated evidence summary, axes, and candidate network	S12__escc_multiomics_integrated_driver_candidates.tsv	1255	66	escc_multiomics_integrated_driver_candidates.tsv	Evidence integration ranks hypotheses and does not convert association into mechanism.
S12	Integrated evidence summary, axes, and candidate network	S12__escc_multiomics_integrated_axis_edges.tsv	235	33	escc_multiomics_integrated_axis_edges.tsv	Evidence integration ranks hypotheses and does not convert association into mechanism.
S12	Integrated evidence summary, axes, and candidate network	S12__escc_multiomics_integrated_axis_summary.tsv	12	36	escc_multiomics_integrated_axis_summary.tsv	Evidence integration ranks hypotheses and does not convert association into mechanism.
S12	Integrated evidence summary, axes, and candidate network	S12__escc_multiomics_heterogeneity_axes.tsv	8	43	escc_multiomics_heterogeneity_axes.tsv	Evidence integration ranks hypotheses and does not convert association into mechanism.
S13	External RNA-proxy and endpoint transportability calibration	S13__escc_external_state_proxy_definition.tsv	732	16	escc_external_state_proxy_definition.tsv	RNA-proxy transportability does not reproduce the full multi-omics model or event-level edges.
S13	External RNA-proxy and endpoint transportability calibration	S13__escc_external_state_internal_cv.tsv	44	18	escc_external_state_internal_cv.tsv	RNA-proxy transportability does not reproduce the full multi-omics model or event-level edges.
S13	External RNA-proxy and endpoint transportability calibration	S13__escc_external_state_oof_predictions.tsv	3120	10	escc_external_state_oof_predictions.tsv	RNA-proxy transportability does not reproduce the full multi-omics model or event-level edges.
S13	External RNA-proxy and endpoint transportability calibration	S13__escc_external_state_patient_scores.tsv	207	47	escc_external_state_patient_scores.tsv	RNA-proxy transportability does not reproduce the full multi-omics model or event-level edges.
S13	External RNA-proxy and endpoint transportability calibration	S13__escc_external_state_survival_associations.tsv	24	25	escc_external_state_survival_associations.tsv	RNA-proxy transportability does not reproduce the full multi-omics model or event-level edges.
S13	External RNA-proxy and endpoint transportability calibration	S13__escc_external_state_ecms_increment.tsv	4	49	escc_external_state_ecms_increment.tsv	RNA-proxy transportability does not reproduce the full multi-omics model or event-level edges.
S13	External RNA-proxy and endpoint transportability calibration	S13__escc_external_state_response_associations.tsv	4	23	escc_external_state_response_associations.tsv	RNA-proxy transportability does not reproduce the full multi-omics model or event-level edges.
